Rb;Istraživači;Predmet;NPP;Razred;Udžbenik;Lekcija;Negativni oblici ponašanja;Navedite šta;Univerzalne vrijednosti;Navedite šta;Partikularizacija vrijednosti;Sadržaji;Načini;Indikator 1;Aktivno učenje;Ne nudi se mogućnost diskusije;Indikator 2 ;Rješavanje problema;Puko pamćenje činjenica ;Indikator 3;Multiperspektivni pristup;Pristup samo jedne perspektive;Indikator 4;Diferencirani prikazi;Stereotipni prikazi;Napomena/komentar na lekciju
11;AS/DŠ;Jezik i književnost;B;6;JIK3;A.B.Šimić: Ah, evo opet…;Ne;;Da;sloboda AS-41-1;Ne;;;1;AS-42-2, DŠ-42;;1;AS-42-1, AS-42-3, DŠ-42;;2;;;0;;;
12;AS/DŠ;Jezik i književnost;B;6;JIK3;Skender Kulenović: Gromovo Đule;Ne;;Da;solidarnost, saradnja;Ne;;;1;AS-45;;1;AS-45-1, DŠ-45;;2;;;0;;;
13;AS/DŠ;Jezik i književnost;B;6;JIK3;Jovan Dučić: Selo;Ne;;Ne;;Ne;;;2;DŠ-46;;2;;;2;;;0;;;
14;AS/DŠ;Jezik i književnost;B;6;JIK3;Ivica Vanja Rorić: Pjesma;Ne;;Da;solidarnost, odgovornost;Ne;;;1;AS-49-2, DŠ-49;;1;AS-49-2, DŠ-49;;2;;;0;;;
15;AS/DŠ;Jezik i književnost;B;6;JIK3;Mirsad Bećirbašić: Harfa;Ne;;Da;kreativnost;Ne;;;2;DŠ-51;;2;AS-51, DŠ-51;;2;DŠ-51;;0;;;
16;AS/DŠ;Jezik i književnost;B;6;JIK3;Petar Kočić: Jablan;Ne;;Da;sloboda, jednakost, odgovornost;Ne;;;1;AS-52, AS-56-1, DŠ-52, DŠ-56;;1;AS-56-2, DŠ-56;;2;DŠ-56;;0;DŠ-56;;
17;AS/DŠ;Jezik i književnost;B;6;JIK3;Duško Trifunović: Čist zrak;Ne;;Da;odgovornost;Ne;;;1;AS-58-2, DŠ-58;;1;AS-57, AS-58, DŠ-57, DŠ-58;;1;;;1;DŠ-58;;
18;AS/DŠ;Jezik i književnost;B;6;JIK3;Isak Samokovlija: Dječak Aron;Ne;;Da;solidarnost, odgovornost;Ne;;;1;AS-59, AS-61, AS-62;;1;DŠ-62;;2;;;0;;;
19;AS/DŠ;Jezik i književnost;B;6;JIK3;Svetozar Ćorović: U noći;Ne;;Ne;;Ne;;;2;DŠ-66;;2;;AS-66;2;;;0;;;(AS) Nema razvoja vještina. Str.66 kompletna interpretacija je pamćenje činjenica i prepirčavanje djela.
20;AS/DŠ;Jezik i književnost;B;6;JIK3;S.S.Kranjčević: Što lijep si, bijeli svijete;Ne;;Da;solidarnost;Ne;;;1;AS-67, AS-68;;2;;;2;;;0;;;
21;AS/DŠ;Jezik i književnost;B;6;JIK3;I.B.Singer: Ole i Trufa;Ne;;Da;solidarnost;Ne;;;1;AS-70, AS-73;;1;AS-73-1, DŠ-73;;2;;;0;;;(AS) Zadatak potiče kreativnost kod djece.
22;AS/DŠ;Jezik i književnost;B;6;JIK3;Šukrija Pandžo: List na putu;Ne;;Da;solidarnost;Ne;;;2;;;2;;AS-75;2;;;0;;;(AS) Zadatak potiče kreativnost kod djece.
23;AS/DŠ;Jezik i književnost;B;6;JIK3;Ranko Pavlović: Jarac u pozorištu;Ne;;Ne;;Ne;;;1;AS-77-1, DŠ-77;;2;AS-77-2;;2;;;0;;;
24;AS/DŠ;Jezik i književnost;B;6;JIK3;Zejćir Hasić: Brat;Ne;;Da;solidarnost;Da;patrijarhat;relativizacija DŠ-78;2;;;2;;;2;;;2;;AS-78, AS-79-1, AS-79-2, DŠ-78;(AS) i (DŠ) Kratki strip evidentno govori o nasilju, a pitanjima se sugeriše da je takvo ponašanje šaljivo!
25;AS/DŠ;Jezik i književnost;B;6;JIK3;Božidar Prosenjak: Otac;Ne;;Da;sloboda, odgovornost;Ne;;;1;AS-83;;1;AS-83-1, AS-83-2, DŠ-83;;2;;;0;DŠ-83;;
26;AS/DŠ;Jezik i književnost;B;6;JIK3;Dž.Svift: Guliverova putovanja;Ne;;Ne;;Ne;;;2;DŠ-87;;2;;;2;;;0;;;
27;AS/DŠ;Jezik i književnost;B;6;JIK3;H.Sjenkjevič: Kroz pustinju i prašumu;Ne;;Da;prijateljstvo, solidarnost;Ne;;;1;AS-90;;1;AS-90-1, AS-90-2, DŠ-90;;2;;;0;;;
28;AS/DŠ;Jezik i književnost;B;6;JIK3;Pozorište/teatar;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS) Samo usvajanje činjenica.
29;AS/DŠ;Jezik i književnost;B;6;JIK3;Igrokaz (Grigor Vitez: Plava boja snijega);Ne;;Da;istinoljubivost;Ne;;;1;AS-96-4, DŠ-96;;2;;AS-97;2;;;0;;;(AS) Iako je evidentan pokušaj poticanja na kreativnost, malo prostora se ostavlja za učeničko promišljanje jer autorica sugeriše odgovore. (DŠ) Autorice konstatacijama nepotrebno sugerišu učenicima odgovore. Str. 97
30;AS/DŠ;Jezik i književnost;B;6;JIK3;Medijska kultura (Mediji);Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;"(AS) Solidna slika. 
(DŠ) Kratki uvodni tekst ove lekcije nema nijednog pitanja koje bi navelo učenike da sami nabroje vrste medija."
31;AS/DŠ;Jezik i književnost;B;6;JIK3;Čarolija velikog ekrana (Dokumentarni i igrani film);Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;"(AS) Dana jedna zanimljivost, ali sve samo informativnog karaktera.

(DŠ) Tekst je informativan, ali bez ijednog pitanja."
32;AS/DŠ;Jezik i književnost;B;6;JIK3;Zlatno doba bh. igranog filma;Ne;;Da;kreativnost;Ne;simboli ;ignorancija, insinuacija DŠ-102;2;;;2;;;2;;;0;DŠ-102;;"(DŠ)  Nagrađeni bh. Filmovi se spominju kao nacionalni simboli; nema pitanja o njima. Ignorancija, insinuacija str. 102 (u odjeljku Roditeljska pažnja autorice objašnjavaju samo oznaku RP; ne govore u koju kategoriju spadaju nagrađeni bh. Filmovi)."
33;AS/DŠ;Jezik i književnost;B;6;JIK3;Animirani film;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;"(AS) Uopće se ne govori o savremenim tehnologijama i njihovoj ulozi u izradi (crtanih) filmova.; Kao primjer se koriste crtani likovi koji vjerovatno djeci nisu ni poznati."
34;AS/DŠ;Jezik i književnost;B;6;JIK3;Lutkarski film;Ne;;Ne;;Ne;;;2;;;2;;;2;;;0;;;(AS) Puko usvajanje činjenica, ali sve!
35;AS/DŠ;Jezik i književnost;B;6;JIK3;A kada je proradio radio?;Ne;;Ne;;Ne;;;1;AS-106, DŠ-106;;1;AS-106, DŠ-106;;2;;;2;;;(AS) Zadatak potiče na kreativnost.
36;AS/DŠ;Jezik i književnost;B;6;JIK3;Čarolija malog ekrana;Ne;;Ne;;Ne;;;1;AS-107-2, DŠ-107;;1;AS-107-1, DŠ-107;;2;;;2;;;(AS) Zadatak isuviše zahtjevan (primjer 1).
37;AS/DŠ;Jezik i književnost;B;6;JIK3;Čarolija interneta;Ne;;Ne;;Ne;;;2;DŠ-108;;2;DŠ-108;;2;DŠ-108;;0;;;(AS) Zadatak potiče na kreativnost, ali bez jasnog cilja. Str. 108
38;AS/DŠ;Jezik i književnost;B;6;JIK3;Novine…novine…novine;Ne;;Ne;;Ne;;;2;AS-110, DŠ-110;;2;;;2;;;0;;;"(AS) Konstatacija da ljudi i danas prvo pročitaju novine je netačna! Zašto onda printani mediji propadaju, a tiraži padaju?; Novine navedene kao sedmične to uopće nisu - izlaze 2X sedmično!"
39;AS/DŠ;Jezik i književnost;B;6;JIK3;Strip;Ne;;Ne;;Ne;;;1;AS-110, DŠ-110;str. 110;2;;;2;;;0;;;(AS) Odličan primjer stripa, ali se uopće ne analizira.
40;AS/DŠ;Jezik i književnost;B;6;JIK3;Biblioteka/knjižnica;Ne;;Ne;;Ne;;;2;AS-119, DŠ-119;;2;AS-119, DŠ-119;;2;AS-119, DŠ-119;;0;;;
41;AS/DŠ;Jezik i književnost;B;6;JIK3;Lektirni kutak;Ne;;Ne;;Ne;;;0;;;0;;;0;;;0;;;"(AS) Predstavljanje knjige zbog načina predstavljanja uopće ne privlače pažnju. 
(DŠ) Lektirni kutak predstavlja tek kratke i uopćene upute za čitanje i interpretaciju književnih djela. Jedino problematično mjesto je pjesma Nevidljiva Iva, odnosno nekoliko stihova na raju (str. 126) jer autorice nisu ponudile model za interpretaciju ove pjesme, pogotovo za interpretaciju podvučenih stihova."
1;NI/DŠ;Jezik i književnost;B;7;JIKg6;Temeljno i preneseno značenje riječi;Ne;;Ne;;Ne;;;1;NI-7-2, NI-7-3, DŠ-6, DŠ-7;NI-6-1, NI-7-1;2;DŠ-6, DŠ-7;;0;DŠ-6, DŠ-7;;0;DŠ-6, DŠ-7;;"(NI) Prije ove lekcije navedena je pjesma Maka Dizdara Riječ; Sadržajno, pjesma u sebi ima odgovornost kao vrijednost. S pjesmom u vezi dana je ilustracija stećka s Radimlje, bez da tekst direktno govori o tome. Na str. 6 - 2: spominje se termin ""naš jezik""; ne zna se na koji standardni jezik se odnosi; možda otkrijemo u nastavku."
2;NI/DŠ;Jezik i književnost;B;7;JIKg6;Naglasnice i nenaglasnice;Ne;;Ne;;Ne;;;2;;;2;;NI-8-1, NI-8-2, NI-8-3, NI-8-4;0;;;0;;;(DŠ) Lekcija se svodi na puko pamćenje činjenica.
3;NI/DŠ;Jezik i književnost;B;7;JIKg6;Čestice/riječce/partikule;Ne;;Ne;;Ne;;;2;DŠ-9;;2;;NI-9, NI-10;0;DŠ-9, DŠ-10;;0;;;"(NI) Iako su primjeri dati u stripu, mogućnosti strip-učenja nisu iskorištene; sve je navedeno tek tako, proforme, bez bilo kakvog funkcionalnog učenja - samo da bi se prepoznali oblici riječca u tekstu."
4;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagoli: leksičko značenje;Ne;;Ne;;Ne;;;2;;NI-11-4;2;;NI-11-1, NI-11-2;0;;;0;;;"(NI) Str. 11 - 3 u oba označena primjera spominje se poglavica - đacima se ne obajšnjava ni ko je poglavica niti ima bilo kakav kontekst priče iz koje bi oni to mogli zaključiti.(DŠ) Malo primjera; nedostaje tekst koji bi pomogao u prepoznavanju leksičkog značenja glagola. Uglavnom se lekcija svodi na puko pamćenje činjenica."
5;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagoli: gramatičko značenje i Glagolski vid/aspekt;Ne;;Da;odgovornost NI-12-1, solidarnost, život, ljubav;Ne;;;0;DŠ-14, DŠ-15;;2;;NI-13-2, NI-13-3;0;DŠ-14;;0;;;"(NI) Iako sam izdvojio odgovornost kao vrijednost koju đaci mogu primijetiti u pjesmi Roditeljska, ni na koji način ta vrijednos nije ni naznačena, a kamoli spomenuta u lekciji; autorice se isključivo bave navođenjem podataka.(DŠ) Drugi dio lekcije sadrži mnogo definicija koje su popraćene s malo primjera. Postoji pokušaj promoviranja univerzalne vrijednosti saradnja u dijelu lekcije kod stripa. Strip je naveden formalno - nije u funkciji savladavanja gradiva."
6;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagoli po predmetu radnje;Ne;;Ne;;Ne;;;2;;NI-16-1, NI-17-1, NI-17-2;2;;;0;;;0;;;"(NI) Kompletna lekcija je samo nabrajanje činjenica. (DŠ) Nakon pitanja slijedi odgovor (str.16 i 17). Natuknicom ""zapamti"" (str.17) od učenika se traži da napamet uče definicije."
7;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagolsko stanje;Ne;;Ne;;Ne;;;2;;;2;;NI-18-1;0;DŠ-18;;0;;;"(NI)Lekcija nepotrebna; sadržaj lekcije je samo naveden; ne pomaže ni strip uvod koji osim ispunjavanja forme za primjere glagolskog stanja, ne nudi bilo kakve vrijednosti koje bi đaci mogli usvojiti."
8;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagolsko lice, rod i broj;Ne;;Ne;;Ne;;;2;DŠ-19, DŠ-20;NI-19-2;2;;NI-19-1, NI-19-3, NI-20-2, NI-20-3;0;DŠ-19, DŠ-20;;0;;;"(NI) Str. 20 - 1 odlomak iz putopisa, ali se ne navodi ime autora putopisa. Str. 20 - 4 termin ""žutokljunac"" nije objašnjen"
9;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagolska vremena;Ne;;Ne;;Ne;;;2;;NI-21-2;2;;NI-21-3;0;;;0;;;"(NI)Str. 21 - 1 - tekst o kraljici Nefertiti, ali se ne navodi ime autora putopisa. (DŠ) Nedostaju problemski zadaci; poslije pitanja slijede odgovori i definicije. Pozitivno je što se nude druge vrste sadržaja osim književnih."
10;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagolski oblici;Ne;;Ne;;Ne;;;2;;NI-22-1, NI-22-2, NI-23-1, NI-23-3;2;;NI-23-2, NI-23-4 ;0;;;0;;;(NI) Oba stripa na 22.strani su nejasna i nije vidljiva bilo kakva funkcija u tekstu osim da navede neke glagole koji bi mogli poslužiti kao primjer za pamćenje navedenih činjenica. U lekciji ne samo da je puko pamćenje činjenica, nego su i činjenice netačne: infinitiv nema samo nastavak -ti, nego i -ći i osnova se određuje u 1.l.jd aorista (to nije navedeno u lekciji) (DŠ)Lekcija se sastoji uglavnom od definicija i objašnjenja bez zadataka. Na str. 23 nabrajaju se tri pomoćna glagola, ne objašnjava se da je zapravo glagol jesam nesvršeni vid glagola biti.
11;NI/DŠ;Jezik i književnost;B;7;JIKg6;Infinitiv;Ne;;Ne;;Ne;;;2;;NI-24-1, NI-25-2, NI-25-3;2;;NI-24-2, NI-25-1;0;DŠ-24;;0;;;(NI) Strip na str. 24 i 25 je nejasan i nije vidljiva bilo kakva funkcija u tekstu osim da navede neke glagole koji bi mogli poslužiti kao primjer za pamćenje navedenih činjenica. Opet netačan podatak - infinitiv nema samo osnou -ti. (DŠ) Nema zadataka koji bi potakli aktivno učenje.
12;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagolski pridjevi;Ne;;Ne;;Ne;;;2;;NI-26-2, NI-26-4 ;2;;NI-26-1, NI-26-3;0;DŠ-26;;0;;;(NI) Na str. 26 moglo bi se govoriti o (ne)slobodi da đaci sami biraju učitelje. Str.26-4 iako su ovi podaci navedeni u nekoj od prethodnih lekcija, podaci se opet ponavljaju bez da se traži od đaka da sami primijene naučeno (ne nudi se mogućnost aktivnog učenja).
13;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagolski pridjev radni (aktiv);Ne;;Da;solidarnost;Ne;;;2;;NI-27-2, NI-28-1, NI-28-2, NI-29-2;2;;NI-27-1, NI-29-1;0;;;0;;;"(NI) Str.28-2 potpuno zapetljana definicija; na kraju će ispasti da se glasovna promjena zove ""nestabilno a"". (DŠ) Uglavnom se govori o pravilima; nema kreativnih zadataka."
14;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagolski pridjev trpni (pasiv);Ne;;Ne;;Ne;;;2;;NI-31-2, NI-31-3, NI-32-2;2;;NI-30, NI-31-1, NI-32-1;0;;;0;;;"(NI) Ne nudi se mogućnost diskusije - str. 32-2 umjesto da djeca rade Veneov dijagram, autorice udžbenika to rade za njih. (DŠ)Nema kreativnih zadataka. Odabrani odlomci se uzimaju nekritički; Ćopićev učitelj iz romana Orlovi rano lete je nasilni alkoholičar pa stoga škola postaje traumatično mjesto. To nisu najsretnije odabrani primjeri za objašnjavanje glagola."
15;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagolske imenice;Ne;;Ne;;Ne;;;2;DŠ-34;NI-33;2;;NI-34-1, NI-34-2, NI-34-3;0;;;0;;;
16;NI/DŠ;Jezik i književnost;B;7;JIKg6;Prezent;Ne;;Ne;;Ne;;;2;;NI-35-2, NI-36-2, NI-37;2;;NI-35-1, NI-35-3, NI-36-1, NI-38;0;;;0;;;(NI) Ne nudi se mogućnost diskusije - str.36-2 osim što automatski odgovara postavljeno pitanje, bez da se daju stvarni zadaci djeci, autorice uvode pojam (stilske vrijednosti) koji ne objašnjavaju. Puko pamćenje činjenica - str.35-1 jedino je važno osjećanje u citiranoj patriotskoj pjesmi, ništa više. (DŠ) Lekcija se svodi na puko pamćenje činjenica.
17;NI/DŠ;Jezik i književnost;B;7;JIKg6;Prezent pomoćnih glagola;Ne;;Ne;;Ne;;;2;;NI-39-1;2;;NI-40;1;NI-39-2, DŠ-39;;0;;;
18;NI/DŠ;Jezik i književnost;B;7;JIKg6;Perfekt;Da;represija NI-41-1;Ne;;Ne;;;2;DŠ-41;NI-43-2;2;;;0;DŠ-41, DŠ-42;;0;;;(NI) Pojavljuje se represija, a autorice samo govore o glagolima koji se koriste (41-1)
19;NI/DŠ;Jezik i književnost;B;7;JIKg6;Aorist;Ne;;Ne;;Ne;;;2;DŠ-44, DŠ-46;NI-44-2, NI-45-1;2;;NI-46-1, NI-46-2;0;;;0;;;(NI) Str.44-1 autorica prepričava sadržaj pripovijetke nejasno i nepotrebno: dječak trpi poniženja jer nije upoznao oca!
20;NI/DŠ;Jezik i književnost;B;7;JIKg6;Imperfekt;Ne;;Ne;;Ne;;;2;NI-47-1, DŠ-50;NI-50-1, NI-50-2;2;;NI-47-2, NI-48-1;0;;;0;;;(NI) Odlomak iz Carevog novog ruha ni na koji način na propituje licemjerje i kvaziznanje iako bi na osnovu tog odlomka to se moglo uraditi.
21;NI/DŠ;Jezik i književnost;B;7;JIKg6;Pluskvamperfekt;Ne;;Ne;;Ne;;;2;DŠ-52;NI-52-1;2;;str.51-1 i 52-2,3;0;;;0;;;
22;NI/DŠ;Jezik i književnost;B;7;JIKg6;Futur I;Ne;;Ne;;Ne;;;2;DŠ-53, DŠ-54, DŠ-56;NI-53, NI-54-1, NI-54-2;2;;NI-56-1, NI-56-2;0;DŠ-53, DŠ-54, DŠ-56;;0;;;(DŠ) Želja za saznanjima i otkrićima kao univerzalna vrijednost.
23;NI/DŠ;Jezik i književnost;B;7;JIKg6;Futur II (egzaktni);Ne;;Da;mir NI-57-1, solidarnost;Ne;;;1;DŠ-58, DŠ-59;;2;DŠ-59;NI-57-2, NI-58, NI-59-1, NI-59-2;0;DŠ-58, DŠ-59;;0;;;
24;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagolski načini;Ne;;Ne;;Ne;;;2;DŠ-60;NI-60-1;2;;NI-60-2;0;;;0;;;"(NI)Na str.60-3 nespretna jezička konstrukcija koja se ne koristi prvi put u ovom primjeru, ali sada ističem ""u našem jeziku imamo…"", ko ima, koji je naš jezik?"
25;NI/DŠ;Jezik i književnost;B;7;JIKg6;Imperativ;Ne;;Ne;;Ne;;;2;;NI-62-2;2;DŠ-61, DŠ-63;NI-62-1, NI-62-3, NI-63;0;;;0;;;"(NI) Puko pamćenje činjenica - str.63 u Ćopićevoj pjesmi samo je bitno prepoznati glagole u imperativu; nema uoće govora o značenju."
26;NI/DŠ;Jezik i književnost;B;7;JIKg6;Potencijal I/Kondicional I;Ne;;Ne;;Ne;;;2;DŠ-65;NI-64-1, NI-64-2;2;;NI-65-1, NI-65-2;0;;;0;;;"(NI) Ne nudi se mogućnost aktivnog učenja - str.64-1 odlomak Dnevnika Ane Frank je nejasan u sadržaju (ne zna se na koji ""takav život"" Ana Frank misli) i onda se daje loša i nejasna definicija glagolskog oblika. Str. 65-2 učenički rad govori o vlastitoj viziji idealne škole, a autorice samo zanima da đaci prepoznaju potencijal I."
27;NI/DŠ;Jezik i književnost;B;7;JIKg6;Potencijal II/Kondicional II;Ne;;Ne;;Ne;;;2;;NI-66-1;2;;NI-66-2;0;;;0;;;
28;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagolski prilozi;Ne;;Ne;;Ne;;;2;;NI-67-1;2;;NI-67-2;0;;;0;;;
29;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagolski prilog prošli;Ne;;Ne;;Ne;;;2;DŠ-68, DŠ-69;NI-68-2;2;;NI-68-1, NI-69;0;;;0;;;
30;NI/DŠ;Jezik i književnost;B;7;JIKg6;Glagolski prilog sadašnji;Ne;;Ne;;Ne;;;2;;NI-71-1, NI-71-2, NI-72-1;2;;NI-70-1, NI-70-2, NI-72-2 ;0;;;0;;;(NI) Ne nudi se mogućnost diskusije - str 72-1 Autorice same rješavaju Veneov dijagram umjesto da to rade đaci. Str. 72-2 književni tekst je samo mjesto gdje se prepoznaje glagolski oblik, ne i značenje.
31;NI/DŠ;Jezik i književnost;B;7;JIKg6;Rečenica;Ne;;Ne;;Ne;;;2;;NI-75-1;2;;NI-75-2;0;;;0;;;
32;NI/DŠ;Jezik i književnost;B;7;JIKg6;Rečenice po sastavu;Ne;;Ne;;Ne;;;2;DŠ-79;NI-77-2, NI-78-1;2;;NI-76, NI-77-1, NI-79-1, NI-79-2;0;;;0;;;"(NI) Puko pamćenje činjenica - 79-1,2 Oba zadatka za vježbanje su na najnižem mogućem nivou; samo je svrha ostvariti formalnu gramatičku rečeničnu konstrukciju."
33;NI/DŠ;Jezik i književnost;B;7;JIKg6;Gramatičko ustrojstvo rečenice;Ne;;Ne;;Ne;;;2;DŠ-81;;2;;NI-80-1, NI-80-2, NI-81-1, NI-81-2, NI-81-3;0;;;0;;;
34;NI/DŠ;Jezik i književnost;B;7;JIKg6;Samostalni rečenični članovi;Ne;;Ne;;Ne;;;2;DŠ-84;;2;;NI-82-1, NI-82-2, NI-84-1;0;;;0;;;"(NI) 84-1 osim što je puko pamćenje činjenica važno je navesti i ovo:Iako nekoliko lekcija ranije, autorice navode da je ""jesam"" glagol za skraćene oblike Sam, si, je; ovdje kažu da je to glagol biti."
35;NI/DŠ;Jezik i književnost;B;7;JIKg6;Priložne/priloške/adverbijalne oznake/odredbe u rečenici;Ne;;Ne;;Ne;;;2;DŠ-86;;2;;NI-85, NI-86-1, NI-86-2, NI-86-3;0;;;0;;;
36;NI/DŠ;Jezik i književnost;B;7;JIKg6;Objekat/Objekt;Ne;;Da;solidarnost;Ne;;;2;;NI-88-1;2;;NI-88-2;0;;;2;;NI-87-1;
37;NI/DŠ;Jezik i književnost;B;7;JIKg6;Nesamostalni rečenični članovi;Ne;;Ne;;Ne;;;2;;NI-89-1;2;;NI-89-2;0;;;0;;;
38;NI/DŠ;Jezik i književnost;B;7;JIKg6;Kongruentni i nekongruentni atribut;Ne;;Ne;;Ne;;;1;NI-92-3, DŠ-90, DŠ-91, DŠ-92;NI-90-1, NI-92-2;2;DŠ-91, DŠ-92;NI-90-2, NI-91, NI-92-1;0;DŠ-92;;0;;;(NI) Na str. 90-3 značenjski neprecizna rečenica iz učeničkog rada koju autorica navodi kao primjer za kongruentni atribut
39;NI/DŠ;Jezik i književnost;B;7;JIKg6;Apozicija;Ne;;Ne;;Ne;;;2;DŠ-94;NI-94;2;;NI-93;0;;;0;;;"(NI) Ne nudi se mogućnost diskusije - str. 94 odlomak iz romana Sadako hoće živjeti je nejasan i samo je u svrhu pronalaska apoziije u tekstu; o značenju se ne razgovara sa djecom."
40;NI/DŠ;Jezik i književnost;B;7;JIKg6;Složena rečenica;Ne;;Ne;;Ne;;;2;DŠ-96;NI-96;2;;NI-95-1, NI-95-2;0;;;0;;;(DŠ) Na str.96 rečenica zavisna o prvoj rečenici.
41;NI/DŠ;Jezik i književnost;B;7;JIKg6;Pravopis i pravogovor;Da;neravnopravnost NI-97;Ne;;Ne;;;2;;;2;;;2;;;0;;;"(NI) Neravnopravnost na str. 97. na četiri slike vidimo samo normative bosanskog jezika; hrvatski i srpski se ne spominju tako da na osnovu slike možemo zaključiti da kadgod autorice u udžbeniku kažu ""naš jezik"" misle na bosanski jezik."
