Šifra udžbenika;Kod;Primjer
V10;NI-12-2;Znanje je potrebno našem umu i srcu kao što je hrana potrebna našem tijelu. Ukoliko se tijelu uskraćuje jelo i piće, ono gubi snagu i slabi. Tako slabi ljudsko srce i um gubi snagu ako mu se uskraćuje znanje. Znanje čovjeku daje snagu i život mu čini ljepšim. Zato se svaki čovjek treba truditi i steći što više korisnog znanja.
V10;NI-12-3;Iz ove ljubavi Uzvišeni Allah čovjeku poklanja i mnoge blagodati: Olakša mu put do Džennet, Naredi melekima da budu ponizni pred njim, Daje mu mnoge vrijednosti ovoga svijeta, Učini ga sretnim I zadovoljnim, Uzdiže ga do najvećih položaja 
V10;NI-123-1;Koji događaj je uzet za početak računanja hidžretskog kalendara? Ko je uveo hidžretsko računanje vremena? Kad započinje i kad se završava računanje hidžretskog mjeseca? Nabroj imena mjeseci hidžretskog kalendara! 
V10;NI-12-4;Čime je čovjek izdvojen nad drugim stvorenjima? Kako glase riječi prve objave? U koje potrebe možeš svrstati znanje? Kome Uzvišeni Ailah poklanja svoju ljubav? Koje koristi čovjek Ima od znanja? 
V10;NI-124-1;Koje je godine hazreti Omer uveo hidžretski kalalendar?
V10;NI-124-2;U čemu se je razlika između gregorijanskog i hidžretskog kalendara? 
V10;NI-125;Kojim epitetima je pjesnik opisao ljude u prvoj strofi? Izdvoji ih I objasni zašto su pobožni, blijedi i veseli. Kakvu svjetlost pjesnik opisuje u drugoj strofi? S čim je poredi? Zašto? Šta se pjesnik pita? Zašto ne može odrediti da li je to svjetlost ili zvuk? Koga naziva Večernjim anđelom? Zašto? 
V10;NI-14;Učenik Uporan i marljiv Piše, pita i uči Ljubavi Uzvišenog Ailaha žudi Sreća! 
V10;NI-15-2;Arebicu su koristili muslimani prije nego sto su uvedene latinica i ćirilica. 
V10;NI-16;U govoru deda I nana često čujemo neke čudne riječi za koje ne znamo šta znače.Te riječi su dio našeg tradicionalnog govora I Imaju posebno mjesto u govoru. Neke od njih su sehara i jemenija. 
V10;NI-17-1;Gdje je TarIk odlazio svakoga lieta? Šta ga je tamo radovalo? Po Čemu će on pamtiti ovo Ijeto? Kakvu priču mu je čitala nana? Koja je pouka nanine priče? 
V10;NI-17-2;Prije latinice pisalo se bosančicom i arebicom. 
V10;NI-17-3;Arebica je značajna kao kulturološki pečat razvijanja našeg jezika. 
V10;NI-20-1;Ko su junaci ove priče? Kakvi su bili mladić i starac? Koju je mahanu Imao starac? Potvrdi to tekstom iz priče. Je ii im mahana starčeva zasmetala u razgovoru i međusobrtom odnosu? Na koji način? 
V10;NI-20-2;Da li je tebi neka tvoja mahana nekada narušila međuljudske odnose? Ispričaj. 
V10;NI-20-3;Različitosti među narodima ne smiju biti uzrokom nepovjerenju, nerazumijevanju ili sukobima. Kako bi odnos s drugima bio što bolji, treba prihvatiti činjenicu da svaki čovjek ima svoje vrline i mahane.
V10;NI-21-1;Šta je najčešći uzrok nerazumijevanja među ljudima? Posmatraj ljude oko sebe i zaključi šta ljudi više ističu: svoje vrline Ili tuđe mahane. Objasni. 
V10;NI-21-2;Šta predlažeš kako bi se povečalo razumijevanje i uvažavanje među ljudima? 
V10;NI-23-1;Sve životinje se obradovaše i počeše se zahvaljivati zecu, ali on reče da ne zahvaljuju njemu, već dragom Bogu, Koji ne voli nasilnike i Koji mu je dao mudrost pa se suprotstavio onome koji je drugima činio nepravdu. 
V10;NI-23-2;Kakvim životom su živjele životinje u stepi? Koje narušio tu harmoniju? Kojim osobinama možeš opisati lava? 
V10;NI-23-3;Da li na Zemlji vlada harmonija među ljudima? Zašto? Ko narušava tu harmoniju? Zaslužuju li kaznu ljudi koji narušavaju harmoniju na Zemlji? 
V10;NI-23-4;Uzvišeni Ailah u Kur'anu kaže: 0 ljudi! Mi vas od jednog čovjeka i jedne žene stvaramo i na narode i plemena dijelimo da bi ste se upoznali. Najugledniji je kod Allaha onaj koji Ga se najviše boji.Ovim ajetom pozvano je cijelo čovječanstvo na razumijevanje, međusobno upoznavanje, saradnju, pomaganje I toleranciju. Poruka ajeta je da različitost u rasi, plemenu, pripadnosti ne smiju biti povod ili razlog za netrpeljivost, sukobe, dominaciju I slično. 
V10;NI-23-5;Ljepota raznolikosti među ljudima je kao Ijepota duge sa svim njenim bojama. Svaki narod je važan i jedinstven, baš kao i svaka dugina boja.Svaki čovjek je jedinstven i u njemu postoje dokazi mudrosti stvaranje Božijeg, te ga ne smijemo Ismijavati i omalovažavati jer bismo ismijavali i omalovažavali stvaranje Božije. 
V10;NI-23-6;Naša domovina je kao bašča s različitim biljem, bogata brojnim narodima, vjerama I kulturama.Siolječima na ovim prostorima gradio se suživot i dobri komšijski odnosi.U ovoj zemlji ljudi su gradili i čuvali svo u kulturu i običaje, slijedili svoju vjeru a poštovali drugog i drukčijeg. Nalazili su snage da I nakon teških iskušenja ponovo grade zajedničku budućnost za nove generacije. I baš zbog toga treba biti ponosan na ovu domovinu i raznolikosti u njoj.Treba činiti i podsticati na dobro,uvažavati raznolikost među ljudima, a Uzvišeni AIlah je onaj koji sudi o postupcima svake osobe. 
V10;NI-25-1;Šta Uzvišeni Ailah kaže o stvaranju čovjeka? Na šta te upućuje ovaj Ailahov, dž.š., govor? 
V10;NI-25-2;Da Ij ljudi na ovakvom temelju danas grade svoj odnos prema drugima? Zašto?Na koji način pokazuješ poštovanje prema drugima? 
V10;NI-26-1;I sebe e počeo kriviti za smrt tog jadnika znajući da se svako zlo dešava radi ljudskog jezika. 
V10;NI-27-1;Da li su papagaj i trgovac bili dobri prijatelji? Zašto? Jesu li obojica bili sretni? Objasni. Da lije trgovac primjećivao papagajevu tugu? Zašto? 0 čemu je razmišljao? 
V10;NI-27-2;Kako primijetiš daje nekome potrebna tvoja pomoć? Na koji način pomažeš ljudima? Kako se osjećaš kada od tebe traže pomoć? 
V10;NI-27-3;Pokušajte se sjetiti kada vam je neko pomogao da ostvarite ono što ste željeli.Da li ste tražili pomoć ili vam je pomoć bila ponuđena?
V10;NI-27-4; Musliman treba biti osjećajan za pozive Uzvišenog Allaha i drugih Božijih stvorenja, jer Ailah uistinu voli  dobročinitelje. 
V10;NI-27-5;Iz primjera Muhammeda, a.s učimo da čovjek tjeba biti Iskren, saosjećajan, razumljiv i pun ljubavi za druga stvorenja. 
V10;NI-27-6;Treba se zanimati za materijalne i duhovne probleme svojih prijatelja, bližnjih i svih vjernika. Važno je da želi pružiti pomoć, sigurnost, raspoloženje i zaštitu s ciljem povećanja vjere i bogobojaznosti - kod sebe i kod drugih. 
V10;NI-27-7;Ailaii, dž.š., nije prepustio čovjeka samome sebi, već ga poziva na Pravi put kroz svoje stvaranje, objave i poslanike. 
V10;NI-28;Važno je slušati Jednom prilikom je bijelac pozvao, svoga prijatelja, Iridijanca u goste u veliki grad.Bijelac je poveo Indijanca u razgledanje grada i dok su se šetali ,Indijanac,najednom,reče :čujem cvrćka!-Nemoguće da od ovolike buke, brujanja automobila i galame da ti možeš čuti cvrčka - reče bijelac. Indijanac se na to sagnuo,razgrnuo grm i pokazao malog cvrćka.-Kako?-upita bijelac.Indijanac na to zatraži jedan novčić i spusti ga na pločnik.Novac zazveči!Prolaznici se zaustaviše i okrenuše prema mjestu odakle je dolazio  zvuk palog novčića.Ono što si naučio slušati ,ćut češ,am kakva bila buka,gdje god bio-odgovori Indijanac i dodade -Vidiš ovi ljudi su u buci čuli novčić,ali cvrčka nisu čuli.
V10;NI-29-1;Kakve pozive čovjek svakodnevno dobiva? Koliko su ljudi svjesni tih poziva? Zašto? 
V10;NI-29-2;Da li te osobine dobijemo rođenjem ili ih izgrađujemo kroz život? Koje od navedenih osobina si Izgradio kod sebe do sada? 
V10;NI-30-2;Ljutnja je osobina koja je stvorena od vatre i postoji u srcu svakog čovjeka.Sto više pokazujemo ljutnju, šejtanov utjecaj je veći. Čovjek mora razvijati vještinu savlađivanja u ljutnji, jer tako smanjuje utjecaj šejtana.
V10;NI-30-3;Sila ljutnje zapostavlja uzrok ljutnje, traži akciju i podstiče na osvetu. Često vodi negativnim reakcijama i ispoljava se putem jezika, tijela I srca. Nekontrolirana jutnja vodi jeziku psovke,vrijeđanja, ružnom govoru i drugim reakcijama kojih se čovjek postidi kad ga I prođe takvo stanje.Žešća ljutnja zna prouzrokovati udarce, bacanje, povređivanje. 
V10;NI-31-2;Prouči Euzubillu i Bismillu i još reci:„Allahu moj, Gospodaru vjerovjesnika Muhammeda, oprosti mi grijehe, odagnaj moju ljutnju i zaštiti me od kušnji koje vode zabludi.Uzmi abdest i klanjaj dva rekata. 
V10;NI-32-1;1.Šta te najčešće ljuti?2 Napiši pismo dječaku koji se često ljuti i posavjetuj ga. Obratite pažnju: njegova ljutnja bi ga mogla ostaviti bez prijatelja. On najčešće pokazuje ljutnju: kada doživi neuspjeh, juti se na druge smatrajući njih, a  ne sebe odgovornim. kada ga mlađi i slabiji ne žele slušati, kada svojom ljutnjomm hoće postići ono što želi, posebno kod pomirljivih osoba, - kada neko postiže bolje rezultate, ljuti se na njega tetako izbjegava vezu s onima čiji uspjeh ne prihvata. - kada želi opravdati svoj loš postupak. 
V10;NI-32-2;Šta je ljutnja?Na koji način djeluje na čovjeka?Kako se ljutnja odražava na tvoj jezik,tjelo i srce?Koje posljedice su ti najteže?Može li ljutnja donijeti nešto korisno čovjeku?Kako možeš kontrolirati ljutnju?
V10;NI-33-1;Ko se sukobio u pročitanoj priči? Od koga su mačke zatražile pomoć? Kako su mačke riješile svoj sukob? 
V10;NI-33-2;Da li ti u rješavanju sukoba mogu pomoći drugi? Objasni. 
V10;NI-33-4;Prije nego što se sukobiš, razmisli kakav problem imaš, da II si sve to malo preuveličao, kako bi to izgledalo iz ugla promatrača, kakva su ti osjećanja, je li to ljutnja, porljeđenost, ljubomora. Šta možeš učiniti, da li uopće želiš riješiti problem' ili voliš da te drugi vide kao žrtvu? Da II je to pravi problem, šta II osjeća Suprotna strana, šta bi ti osjećao da si na drugoj strani, šta u stvari hoćeš, da li je u tvom interesu da sukob traje?
V10;NI-34;Kada se ogriješimo  o ljude,oprost moramo prvo tražiti od njih pa od Uzvišenog Allaha.Uzvišeni Allah neće oprostiti i prihvatiti naše izvinjenje sve dok to ne uradi čovjek prema kome smo pogriješili.
V10;NI-35-2;S drugom iz razreda si došao u sukob. Napravite spisak sukoba kako bi ih lakše riješili. 
V10;NI-36-1;Koja ste rješenja mogli dobiti? Mogu li se izbjeći sukobi? Kako? Probaj s ovim savjetom: Budi uljudan! Nemoj misliti da je uljudnost oholost, to je način da lijepo kažeš čak i ono stoje neprijatno, a da drugi ljudi ne budu povrijeđeni, pa tako neće doći do sukoba. Isprobaj neke od primjera i navedi svoje primjer. 
V10;NI-37-1;Šta te se posebno dojmilo u priči?Kakav je bio zadatak učitelja? Da li je uspio u tome? Potkrijepi pričom svoju tvrdnju.
V10;NI-37-2;Opravdavaš li učiteljev postupak? Zašto?Slažeš li se s onim što je rekao učitelj o nepravdi? Obrazloži. ^ 
V10;NI-37-3;Na nepravdu lijepim postupkom uzvrati, pa će ti, odjednom, neprijatelj prisni prijatelj postati,Kakoje to moguće? 
V10;NI-38-1;"Nastoj da budeš iznad onih koji nepravdu čine i nikada se nemoj izjednačiti s njima.Poslanik je rekao: ""Vjernik ne vrijeđa, ne prok/inje, nije bestidan i besraman."" "
V10;NI-38-2;Traženje osvete lahko čovjeka dovede do stepena onog koji čini nepravdu. 
V10;NI-39-1;Da li ti je nekada učinjena nepravda? Opiši svoju reakciju.Da li bi sada drugačije reagirao? Zašto? 
V10;NI-39-2;Kako islam gleda na nepravdu? Dozvoljava li uzvraćanje na nepravdu? Kada i kako? 
V10;NI-40-1;Bogu najdraži ljudi jesu oni koji najviše koriste ljudima.
V10;NI-40-2;Bogu najdraže djelo jeste radost koju uneseš u srce vjernika.
V10;NI-41-1;Koja je osjećanja u tebi probudila ova priča? Kakav je bio Bekir? Izdvoji opise iz priče. Da Ii je uvijek bio takav? Zašto? Da II se neko u razredu sjetio da pomogne Bekiru? Iz kog razloga? Do kakvog saznanja je došla učiteljica? Je ii to saznanje promijenilo njen odnos prema Bekiru? Objasni. Na koji način mu je pomogla?Šta je nedostajalo Bekiru?Gdje je to pronašao? Kako se učeteljicina pomoć odrazila na Bekira?  
V10;NI-41-2;Za strpljivost je  potrebna volja i zadovoljstvo Božijom odredbom.
V10;NI-42;Što si lijepa,ljepotom zračiš,pametan si,drug si pravi
V10;NI-43;Čemu se najradije smiješ? Kako smijeh može povrijediti sagovornika? Kako ga smijeh može oraspoložiti? Čemu se radije smiješ, šali ili Ismijavanju? Zašto? 
V10;NI-44-1;Jeste li ikada razmišljali o smislu svog života? Zašto? 
V10;NI-44-2;Šta je nastavniku pomoglo da spozna smisao života? U čemu je pronašao smisao svoga života? 
V10;NI-44-3;Treba li to raditi svaki čovjek? Kako? 
V10;NI-45-1;Zašto je mudrac mislio da će car biti izliječen košuljom sretnog čovjeka? 
V10;NI-45-2;Da li bogatstvo donosi sreću? 
V10;NI-45-3;Šta je imao sretni čovjek?Iz čega proizilazi njegova sreća? Da li si ti sretan? Zašto? 
V10;NI-46-2;"Razmisli o rečenici:"" Prije nego što počneš tražiti sreću, provjeri, možda si već sretan. Sreća je mala,obična i neupadljiva I mnogi je ne umiju vidjeti."" Možeš li prepoznati sreću? "
V10;NI-49-1;Gdje je živio Ejjub, a.s.? Čime ga je Allah, dž.š. Obdario? Da li je Ejjub, a.s., bio zahvalan Gospodaru? Navedi primjer. Kakva iskušenja su ga snašla? Da li je ostao sam? 
V10;NI-49-3;Kako biste reagirali u sljedećim situacijama: - Kasnite u školu, a ne možete preći ulicu zbog velike gužve u saobraćaju.Loše se osjećate, ali morate čekati kod Ijekara!- žurite na trening, a autobus kasni! - Dosadno vam je na času, a nikako da zazvoni! - Roditelji su vam obećali kupiti mobitel, ali nemaju vremena da odete u kupovinu. 
V10;NI-50-1;Ljudi su često u situaciji da pokažu svoju strpljivost .Kroz pokazivanje ove osobine čovjek otkriva stepen svog vjerovanja .Ukoliko je vjerovanje veće ,kod ćovjeka je prisutna svijest o Bogu i Njegovom određenju.
V10;NI-50-2;Strpljivost se pokazuje i u blagostanju kroz zahvaljivanje Uzvišenom Allahu.Puno teže je pokazati strpljivost u ovakvim situacijama,jer se čovjek lahko uzoholi.
V10;NI-50-3;Svakodnevno se treba ustezati od ružnih  djela na koje nas navodi prokleti šejtan.
V10;NI-50-4;Život donosi razna iskušenja.S njima se uspješno mogu nositi oni koji imaju snažnu vjeru,strpljivost,ustrajnst i odlučnost.
V10;NI-50-5;S čim se povezuje strpljivost?U čemu sve treba pokazivati strpljivost? 
V10;NI-50-6;Kada je tebi najlakše pokazati strpljivost?
V10;NI-50-7;Šta je potrebno za strpljivost? Da li je strpljivost osobina sa kojom smo rođeni? Argumentiraj. 
V10;NI-50-9;Strpljivost predstavlj< odlučnost da istraješ u nečemu.
V10;NI-54-1;Kakve su nevolje zadesile Jusufa, a.s.? Koje bio njegov zaštitnik? Da li je Jusuf, a.s., razmišljao o osveti? Zašto? 
V10;NI-54-2;U Čemu se ogleda Jusufova, a.s., velikodušnost? Kakoje prihvatao sve nevolje? 
V10;NI-54-3;Poznaješ li ti nekoga ko zna praštati? Koje osobine bi istakao kod te osobe? 
V10;NI-55-1;Pronađite i izdvojite pozitivne postupke njegove braće. 
V10;NI-55-2;Koje osobine bi mogli vezati za praštanje? 
V10;NI-56-1;Napiši pet pouka iz života Jusufa, a.s. 
V10;NI-56-2;Zbog čega je tužan i zabrinut? Ko pronalazi Jusufa u jami? Šta mu daje snagu da prevaziđe teškoće?' Pronađi stihove koji pokazuju da je Jusufova tuga zamijenjena radošću. Kojim riječima je opisana radost? 
V10;NI-58-1;Po čemu je bio poznat Zulkifl, a.s.? Kakvu je obavezu preuzeo na sebe i od koga? Zastoje El'jese'a tražio nekoga ko će ustrajati u postu danju, klanjati nafilu noću i kontrolirati svoju ljutnju? 
V10;NI-58-2;Da li ga je šejtan uspio naljutiti? Zašto? Kakoje Zulkifl izvršio preuzetu obavezu? Zbog čega gaje Allah,dž.š., posebno zavolio? 
V10;NI-58-3;Svaki pojedinac treba uložiti mnogo truda kako bi izgradio svoju ličnost i poStao karakterna osoba. Osobine karakternog čovjeka su: vjernost, pouzdnost, iskrenost, pravednost, povjerljivost i slično. Karakterna osoba jeljubazna, smirena, plemenita i dobra. Hrabra je i odvažna i i ima jaku volju. Ne zna za prepreke i ne slamaju je nevolje.  
V10;NI-58-4;Najveći primjer čvrstog karaktera imamo u našem najvećem uzoru, Muhammedu, a.s., koji je imao časni nadimak E-Emin,Što znači: vjerni, pouzdani, povjerljivi.
V10;NI-59;Odgovornost je kada doprinosimo da svijet bude bolji. Odgovornost je kada izvršavamo svoje obaveze. - Odgovornost je kada vodimo brigu o sebi i drugima. - Odgovornost je kada vodimo računa o onom što nam je povjereno. - Odgovornost je pomagati ljudima kada im je pomoć potrebna. Odgovornost je kada se trudimo da ostvarimo on što smo obećali.
V10;NI-6-1;Prije svega željela bih razumijti sebe i druge, naučiti više biti samostalna, spoznati svoje potrebe i odrediti težnje. Pa ja više nisam mala djevojčica, mogu i sama početi uređivati svoj život! Znam ja da svi oni meni žele samo dobro, da se učim na tuđim greškama, ali šta je sa mojim iskustvom, mišljenjem, željama i nadanjem. 
V10;NI-61-1;Koje Muhamedove osobine pokazuju da on izvršava preuzete obaveze? 
V10;NI-61-2;Šta možeš naučiti iz kazivanja o Muhamedu? 
V10;NI-61-3;Zbog čega je mještanin garantirao za Muhameda? 
V10;NI-61-4;Na koji način se ti trudiš da izvršiš svoje obaveze? 
V10;NI-6-2;Znam da će Miloštivi Ailah spustiti Svoju milost i pomoći mi u ostvarenju mojih potreba i želja u životu. 
V10;NI-63;Kakav je bio narod Junusa, a.s.? Koju obavezu je preuzeo Junus, a.s.? Da li je bio dovoljno strpljiv sa svojim narodom? Zašto?Čime gaja Ailah, dž.š., zadužio? Šta SU primijetili stanovnici Ninive? Da li su to prihvatili kao pouku? Pronađi u tekstu dio koji govori o tome. Šta se desilo s Junusom, a.s.? Zbog čega mu je AIlah, dž.š., oprostio?  
V10;NI-64-1;Pred tobom su svakodnevno izbori kojima utječeš na svoj život. Nemoj zaboraviti da izbori povlače odgovornost za posljedice koje mogu biti dobre ili loše. Nastoj da svojim izborima jeazoveš dobre posljedice. Npr. Nauči za kontrolni da bi dobio pet. 
V10;NI-64-2;"Čemu ljudi više teže; rješavanju problema ili bježanju od njega? Da li je odavanje drogi ili alkoholu način bježanja od problema? Zašto?Kako se trebamo ponašati u teškoćama? "
V10;NI-65;Šta tebe zbunjuje u životu? Na koje teškoće nailaziš? 
V10;NI-66-1;Koje osobine ove plemenite žene pjesnik Ističe u prvi plan? Može II ona biti uzor svim ženama? Zašto? Ko je njen uzor? 
V10;NI-66-2;Kakav je odnos kćerke prema ocu koji je preselio na ahlret?
V10;NI-67-1;Muhammed, a.s. I njegova kćerka Fatima bili su i ostali najljepši primjer ljubavi oca prema kćerci iljubavi kćerke prema ocu. 
V10;NI-67-2;Zašto je Poslanik, a.s., poklanjao toliku pažnju Fatimi?Kakvu je ulogu Fatima imala u njegovom životu? 
V10;NI-67-3;Kakav odnos je bio Između Poslanika I Fatime? 
V10;NI-67-4;Kakav odnos su imali predislamski Arapi prema ženskoj djeci? 
V10;NI-67-5;Kako su iskazivali poštovanje jedno prema drugome? 
V10;NI-69-1;O kome su razgovarali Harun i Adna? Čega su se prisjećali? Kako Harun osjeća ljubav svojih roditelja? Šta Adnu oduševljava kod njenih roditelja? Koje su pouke njihove Povelje ljubavi prema roditeljima? 
V10;NI-69-2;Šta biste dodali ovoj povelji? 
V10;NI-69-3;Koje osobine neko mora posjedovati da bi bio tvoj uzor?Razvijaš li te osobine kod sebe ?U čemu su ti roditelji uzori?
V10;NI-69-4;Ailah je Stvorio nit ljubavi Između roditelja i djece. Roditelji se nikada ne umore od brige za djecu. Oni uživaju u njihovom odrastanju.
